Date,inflation,unemployment,gdp,exports,imports,acc_balance,consumption,population,emigration,immigration,life_expectancy,deaths
2017-06-30,2.0,5.366666666666667,14375.5,27500.4,23176.6,2023.0,19522.32660645697,593501.5,13790.520199997078,24440.100946577928,82.14999999999999,4311.806325807633
2017-09-30,2.033333333333333,5.366666666666667,14149.2,27977.3,23033.2,-753.0,19739.385225199592,596336.0,13748.029338257418,24369.853524775488,82.19999999999999,4334.734390807041
2017-12-31,1.8666666666666665,5.633333333333333,15890.2,29858.4,24822.7,678.0,19979.36492818891,599170.5,13787.254746300974,24372.53126497929,82.25,4335.23333802704
2018-03-31,1.1666666666666667,5.666666666666667,14239.7,28332.5,23806.1,1442.0,20260.0,602005.0,13985.0,24644.0,82.3,4318.0
2018-06-30,1.9333333333333333,5.3999999999999995,14885.0,29267.6,24369.2,779.0,20592.716147526706,604977.25,14387.915428644901,25297.352927335956,82.4,4288.820606750419
2018-09-30,2.533333333333333,5.5,14818.7,29931.6,24621.1,1728.0,20896.810899860993,607949.5,14892.522272898948,26088.57867779501,82.5,4261.970547682161
2018-12-31,2.433333333333333,5.433333333333334,16250.0,31180.7,26310.3,1055.0,21063.903301479753,610921.75,15345.087918544432,26660.07572241372,82.6,4254.7406321479875
2019-03-31,2.033333333333333,5.633333333333333,14497.3,30753.0,26269.1,2198.0,20994.0,613894.0,15593.0,26668.0,82.7,4283.0
2019-06-30,1.9666666666666668,5.466666666666666,15501.1,31804.3,27009.6,3521.0,20638.35049193433,616947.5,15552.18570341548,25910.265496135602,82.575,4356.070589594208
2019-09-30,1.3666666666666665,5.566666666666666,15393.4,32608.3,27561.9,1656.0,20142.705274019423,620001.0,15315.66985393192,24665.671939505704,82.45,4454.385951336505
2019-12-31,1.2,5.7,17023.2,33771.4,29060.3,-2051.0,19718.73437069735,623054.5,15036.607876246278,23377.26750193125,82.325,4548.462387335295
2020-03-31,1.5333333333333332,6.266666666666667,15445.2,32069.0,26976.2,-229.0,19575.0,626108.0,14870.0,22490.0,82.2,4609.0
